Lacewing Flies
Bicorn horn
Knotgrass
Fluxweed
Boomslang skin
Hair
Ashwinder egg
Squill bulb
Murtlap tentacle
Tincture of thyme
Occamy eggshell
Powered rue
Ashwinder egg
Rose thorn
Peppermint
Powered moonstone
Pearl dust
Red wine
Prune juice
Hairy fungus
Tortoise shell
Caterpillar
Bat tongue
Powdered moonstone
Unicorn horn
Porcupine quills
Wolfsbane
Chinese Chomping cabbage
Puffer Fish
Scarab beetles
Cherries
Sorcerer stone
Wiggentree bark
Moly
Dittany
Flobberworm mucus
Chizpurfle fangs
Flitterby moth
Bouncing bulb
Foxglove
Horklump juice
Lionfish spines
Bezoar
Pistletoe berries
